LCLid,cluster,Acorn,Acorn_grouped,stdorToU
MAC000647,2,ACORN-D,Affluent,Std
MAC000648,2,ACORN-F,Comfortable,Std
MAC000649,2,ACORN-P,Adversity,Std
MAC000650,1,ACORN-F,Comfortable,Std
MAC000651,2,ACORN-E,Affluent,Std
MAC000652,2,ACORN-E,Affluent,Std
MAC000653,2,ACORN-Q,Adversity,ToU
MAC000654,1,ACORN-E,Affluent,Std
MAC000655,2,ACORN-F,Comfortable,Std
MAC000656,1,ACORN-O,Adversity,Std
MAC000657,2,ACORN-Q,Adversity,Std
MAC000658,2,ACORN-L,Adversity,Std
MAC000659,1,ACORN-L,Adversity,Std
MAC000660,2,ACORN-K,Adversity,Std
MAC000661,1,ACORN-F,Comfortable,Std
MAC000662,2,ACORN-L,Adversity,Std
MAC000663,2,ACORN-E,Affluent,Std
MAC000664,1,ACORN-K,Adversity,Std
MAC000665,2,ACORN-E,Affluent,ToU
MAC000666,2,ACORN-E,Affluent,ToU
MAC000667,2,ACORN-M,Adversity,Std
MAC000668,1,ACORN-J,Comfortable,Std
MAC000669,1,ACORN-E,Affluent,Std
MAC000670,1,ACORN-L,Adversity,Std
MAC000671,2,ACORN-F,Comfortable,Std
MAC000672,2,ACORN-E,Affluent,ToU
MAC000673,1,ACORN-E,Affluent,ToU
MAC000674,2,ACORN-M,Adversity,Std
MAC000675,2,ACORN-F,Comfortable,Std
MAC000676,2,ACORN-F,Comfortable,Std
MAC000677,2,ACORN-E,Affluent,Std
MAC000678,2,ACORN-F,Comfortable,Std
MAC000679,2,ACORN-E,Affluent,Std
MAC000680,2,ACORN-L,Adversity,ToU
MAC000681,1,ACORN-E,Affluent,ToU
MAC000682,1,ACORN-H,Comfortable,Std
MAC000683,2,ACORN-Q,Adversity,ToU
MAC000684,2,ACORN-Q,Adversity,Std
MAC000685,2,ACORN-H,Comfortable,Std
MAC000686,1,ACORN-E,Affluent,Std
MAC000687,2,ACORN-K,Adversity,ToU
MAC000688,1,ACORN-H,Comfortable,ToU
MAC000689,1,ACORN-C,Affluent,Std
MAC000690,2,ACORN-Q,Adversity,Std
MAC000691,2,ACORN-G,Comfortable,Std
MAC000692,1,ACORN-D,Affluent,Std
MAC000693,0,ACORN-E,Affluent,Std
MAC000694,2,ACORN-L,Adversity,Std
MAC000695,2,ACORN-Q,Adversity,Std
MAC000696,2,ACORN-Q,Adversity,Std
MAC000697,0,ACORN-E,Affluent,Std
MAC000698,2,ACORN-F,Comfortable,Std
MAC000699,2,ACORN-G,Comfortable,Std
MAC000700,2,ACORN-E,Affluent,Std
MAC000701,2,ACORN-E,Affluent,Std
MAC000702,2,ACORN-Q,Adversity,Std
MAC000703,1,ACORN-Q,Adversity,Std
MAC000704,2,ACORN-Q,Adversity,ToU
MAC000705,2,ACORN-L,Adversity,Std
MAC000706,1,ACORN-E,Affluent,Std
MAC000707,2,ACORN-N,Adversity,Std
MAC000708,2,ACORN-Q,Adversity,ToU
MAC000709,1,ACORN-E,Affluent,ToU
MAC000710,2,ACORN-F,Comfortable,ToU
MAC000711,1,ACORN-Q,Adversity,Std
MAC000712,2,ACORN-L,Adversity,Std
MAC000713,1,ACORN-A,Affluent,Std
MAC000714,2,ACORN-Q,Adversity,Std
MAC000715,1,ACORN-D,Affluent,Std
MAC000716,2,ACORN-E,Affluent,ToU
MAC000717,2,ACORN-Q,Adversity,Std
MAC000718,1,ACORN-Q,Adversity,Std
MAC000719,2,ACORN-E,Affluent,ToU
MAC000720,1,ACORN-K,Adversity,Std
MAC000721,1,ACORN-F,Comfortable,Std
MAC000722,2,ACORN-E,Affluent,ToU
MAC000723,2,ACORN-H,Comfortable,Std
MAC000724,1,ACORN-L,Adversity,Std
MAC000725,2,ACORN-F,Comfortable,ToU
